CURRENT_MINE_NAME,CURRENT_MINE_STATUS,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_NAME,PRIMARY_SIC,latitude,longitude
Boonville #1,Abandoned,Hoesli John J,Warrick County Coal Corp,Coal (Bituminous),38.0875,-87.2708
Bull City,Abandoned,TRU Energy Services LLC,C & H Mining Company Inc,Coal (Bituminous),33.4333,-87.2708
Yankeetown #2,Abandoned,Hoesli John J,Warrick Minerals Inc,Coal (Bituminous),37.975,-87.2694
Landfill Mine,Abandoned,Zielinski Brothers,Zielinski Construction Corp,Coal (Bituminous),37.6806,-87.2694
Hatt Mine,Abandoned,Daryn  Bookout,Bookout Construction Corp,Coal (Bituminous),0.1694,-87.2686
Pit #3,Abandoned,Hilton William M,W & W Coal Company Inc,Coal (Bituminous),33.3669,-87.2681
Star South Underground,Abandoned and Sealed,Hanson PLC,Peabody Coal Company,Coal (Bituminous),37.2769,-87.2675
Solar #1 Warrick,Abandoned,Felson  Bowman,Solar Sources Inc,Coal (Bituminous),38.225,-87.2667
Warrior,Abandoned,Rooksby Robert T,Fossil Fuels Resources Inc,Coal (Bituminous),38.8,-87.266667
R & H Mining Inc,Abandoned and Sealed,Heichelbech Bernard,R & H Mining Inc,Coal (Bituminous),38.416667,-87.266667
Oakhill Dock,Abandoned,Brown Eddie R & Mary K Brown,E & M Coal Inc,Coal (Bituminous),38.3,-87.266667
Coaling Mine,Abandoned,Smith Charles J & Charles R,Mineral Land & Mining Consultants Inc,Coal (Bituminous),33.266667,-87.266667
Pride #2 ,Abandoned,Bronco Energy Fund Inc,B and B Mining,Coal (Bituminous),38.541666,-87.266666
Gorgas #7 Preparation Plant,Abandoned,Drummond Company Inc,"Drummond Company, Inc.",Coal (Bituminous),33.646389,-87.265556
Skelton Creek,Active,Phillip D  Kennedy; Paul D  Kennedy,"Kennedy Brothers Construction, LLC",Coal (Bituminous),33.746667,-87.265278
Parrish Mine,Abandoned,Roger W  Perry; Rance  Perry; Leah  Perry-Haynie,Black Warrior Minerals Inc,Coal (Bituminous),33.746388,-87.265277
K O Mine,Abandoned,Charles C  Ungurean,Oxford Mining Company-Kentucky LLC,Coal (Bituminous),37.187777,-87.265
ADDCAR System 40 HWM Ser # LV23040,Active,UGM Holdings Pty.Ltd.,UGM ADDCAR Systems LLC,Coal (Bituminous),38.183056,-87.264722
Pride Mine,Abandoned,Donald  Blankenberger,B B Mining Inc.,Coal (Bituminous),38.548888,-87.264444
Kingsley Mines Inc,Abandoned,Guillaume Bill,Swiss Fuels Inc,Coal (Bituminous),37.7125,-87.2639
Pit #4,Abandoned,Hilton William M,W & W Coal Company Inc,Coal (Bituminous),33.3917,-87.2625
Depoy Mine,Abandoned,Gary Wayne  Johnson,Black Hills Coal Inc,Coal (Bituminous),37.197222,-87.261111
Depoy Mine,Abandoned,Carver David G,Friendship Energy Inc,Coal (Bituminous),37.1972,-87.2611
Alabama Pit,Abandoned,James  Campbell,Campbell Sand & Gravel Co,Construction Sand and Gravel,31.000277,-87.260833
Hanna Mill Mine,Abandoned,Tuggle James A,M E C Inc,Coal (Bituminous),33.3311,-87.2603
Herborn Pit,Abandoned,Davis Joe Lewis,West Blocton Clay & Shale Company,Coal (Bituminous),33.1808,-87.2592
Solar Sources Preparation Plant,NonProducing,Felson  Bowman,Solar Sources Inc,Coal (Bituminous),39.483333,-87.258888
Lewis Mine,NonProducing,Felson  Bowman,Solar Sources Inc,Coal (Bituminous),39.2875,-87.258333
Latta,Abandoned,Hanson PLC,Peabody Coal Company,Coal (Bituminous),39.4,-87.2583
Penndiana,Abandoned,Cyprus Amax Minerals Company,Ayrshire Land Company,Coal (Bituminous),39.0528,-87.2583
Charter #1,Active,Gwenda L  Sellers; Eddie D  Tapp,T & T Washing Co. Inc.,Coal (Bituminous),38.285,-87.254722
Centreville Mine,Temporarily Idled,Boral Limited,Boral Bricks Inc,Common Clays NEC,30.497222,-87.254722
Warrior Plant #1,Abandoned,Rooksby Robert T,Allied Minerals Inc,Coal (Bituminous),38.75,-87.2547
Bicknell #1,Abandoned,Union Miniere S A,Bicknell Minerals Inc,Coal (Bituminous),38.75,-87.2547
Bicknell Plant,Abandoned,Sides Brack Jr,Sidco Inc,Coal (Bituminous),38.75,-87.2547
Warrior,Abandoned,Razmus Peter J,Matco Energy Corp,Coal (Bituminous),38.75,-87.2547
Knox County Pit #1,Abandoned,Sides Brack Jr,Sidco Inc,Coal (Bituminous),38.7528,-87.2544
Mary Lee # 1 Mine,NonProducing,Drummond Company Inc,"Drummond Company, Inc.",Coal (Bituminous),33.655277,-87.254166
Sides Pit,Abandoned,Mitchell Phil,International Coal Company Inc,Coal (Bituminous),34.0078,-87.2531
Log Creek Underground,New Mine,RWE Trading Americas Inc; JMP Coal Holdings LLC,Triad Underground Mining LLC,Coal (Bituminous),38.810555,-87.251944
Nauvoo Mine No 1,Abandoned,West Ed,West Energy Inc,Coal (Bituminous),33.5739,-87.2517
Somerville East,Abandoned,Peabody Energy; United Minerals Inc,United Minerals Co LLC,Coal (Bituminous),38.323055,-87.251666
Addison Rail Siding,Abandoned,Timothy L  McCoy,Alabama Land & Mineral Corp,Coal (Bituminous),33.8022,-87.2511
Birdsong #1,Abandoned,Faris James,Tri-Quality Mining Div/Tri-Industries Inc,Coal (Bituminous),39.2083,-87.25
Pike No. 2 Mine,Abandoned,T & T Washing Co Inc; A M C I,"Indiana Land and Mineral Co., LLC",Coal (Bituminous),38.433333,-87.25
Charger Loadout,Abandoned,Felson  Bowman,Solar Sources Underground L L C,Coal (Bituminous),38.433333,-87.25
Charger Mine #1,NonProducing,Felson  Bowman,Solar Sources Underground LLC,Coal (Bituminous),38.433056,-87.25
Parish Bros Coal Co,Abandoned,Parish Mitchell,Parish Brothers Coal Company,Coal (Bituminous),38.35,-87.25
