CURRENT_MINE_NAME,CURRENT_MINE_STATUS,CURRENT_CONTROLLER_NAME,CURRENT_OPERATOR_NAME,PRIMARY_SIC,latitude,longitude
LJ Cone Plant,Intermittent,Bill  Shaishnikoff,Bering Shai Construction,Construction Sand and Gravel,53.856944,-166.561388
Sand Screen & Wash Plant,Abandoned,Bradley K  West,West Construction Company,"Crushed, Broken Stone NEC",53.8775,-166.556944
Jaw Primary Crusher,Abandoned,Bradley K  West,West Construction Company,"Crushed, Broken Stone NEC",53.904722,-166.510555
Knik Construction Company Incorporated,Abandoned,Lynden Inc,Knik Construction Company Inc,Construction Sand and Gravel,53.865556,-166.459167
Kougarok Dredge Pit,Intermittent,Bruce H  Tweet; Douglas B  Tweet,N B Tweet & Sons LLC,Gold Ore,65.924232,-166.433774
Nome Airport Screener,Intermittent,State Of Alaska,Alaska Department of Transportation,"Crushed, Broken Stone NEC",64.512222,-165.445278
Knik Rock Sorter,Temporarily Idled,Lynden Inc,"Knik Construction Co., Inc.",Construction Sand and Gravel,64.498056,-165.410556
Power Screen ,Abandoned,Lynden Inc,Knik Construction Company Inc,Construction Sand and Gravel,64.498055,-165.410555
Knik Screen,Abandoned,Lynden Inc,"Knik Construction Co., Inc.",Construction Sand and Gravel,64.498055,-165.410555
Maine Monroeville,Active,Nome Gold Company,Nome Gold Alaska Corporation,Gold Ore,64.541389,-165.408611
Anderson & Sons Mining,Intermittent,Ralph  Anderson,Anderson & Sons Mining,Gold Ore,64.501111,-165.406389
Broken Peck Mine,Abandoned,Jon  Peckenpaugh,Peckenpaugh Mining Inc.,Gold Ore,64.501111,-165.406389
MS 1890,Abandoned,Judy A  Martinson,"Freedom Resources, LLC",Gold Ore,64.501111,-165.406388
Lost Nugget,Abandoned,Terry  Tuell,"Niagara, Inc",Gold Ore,64.501111,-165.406388
Nome Screener,Temporarily Idled,State Of Alaska,State of Alaska Department of Transportation,Construction Sand and Gravel,64.540277,-165.403333
Nome Anvil Creek Mine,Temporarily Idled,Robert  MacDonald,Ruby  Mining Corporation,Gold Ore,64.552222,-165.395278
Nanuuq Gold Project,Temporarily Idled,Bering Straits Native Corporation,Alaska Gold Company,Gold Ore,64.552222,-165.395278
Ridge Crusher,Intermittent,Drew  McLaughlin,Ridge Contracting Inc,Construction Sand and Gravel,64.6225,-164.393333
Gravel Pit #1,Intermittent,City of St Mary's,City of St Mary's,Construction Sand and Gravel,62.049722,-163.178333
Kotzebue Airport Screener,Intermittent,State Of Alaska,Alaska Department of Transportation,"Crushed, Broken Stone NEC",66.890833,-162.604167
Nimiuk Pt. ,Intermittent,Toby  Drake,Drake Construction Inc,Construction Sand and Gravel,66.894722,-162.6025
Gold Run Creek,Intermittent,Floyd L  Ehmann; Sharon M  Ehmann,Dry Creek Valley LLC,Gold Ore,66.898333,-162.596666
Red Dog,Active,Teck Resources Limited,Teck Alaska Inc,Lead-Zinc Ore,68.046111,-162.433889
Stephen's Hill Quarry,Intermittent,Julia A  Saunders,Advanced Blasting Services,"Crushed, Broken Basalt",63.511944,-162.274722
Platinum Creek Mine,Temporarily Idled,Bruce  Butcher,XS Platinum Inc.,Platinum Group Ore,58.6425,-162.075277
Pioneer VE-50,Abandoned,Becharof Corporation,BC Contractors Inc,"Crushed, Broken Stone NEC",58.6425,-162.075277
Power Jaw/Screen,Abandoned,Lynden Inc,Knik Construction Company Inc,Construction Sand and Gravel,60.7925,-161.755833
Marvel Creek ,Intermittent,Mark  Matter,Marvel Creek Mining Company,Gold Ore,60.792222,-161.755833
SK Sweepstakes,Temporarily Idled,Samuel Kelly  Thomas,Kelly Thomas,Gold Ore,64.931944,-161.156944
Unalakleet Screener,Temporarily Idled,State Of Alaska,Alaska Dept. of Transportation,Construction Sand and Gravel,63.881666,-160.797777
Mobile Crusher #4,Abandoned,F & R Incorporated,Brechan Enterprises Inc,Construction Sand and Gravel,55.269444,-160.675
Kauai Aggregates,Active,O Thronas Incorporated; Priscilla K  Thronas,Kauai Aggregates,"Crushed, Broken Stone NEC",21.911457,-159.546432
Mahaulepu Quarry & Mill,Abandoned,James W Glover Holding Company Ltd,James W Glover Ltd,Dimension Limestone,21.906666,-159.469166
Kukuiula Pit,Abandoned,Peter Kiewit Sons' Inc,Kiewit Pacific Co.,Construction Sand and Gravel,21.906666,-159.469166
GBI 15,Abandoned,Goodfellow Brothers Inc,Goodfellow Brothers Inc,Construction Sand and Gravel,21.895277,-159.466666
Koloa Landing,Abandoned,Layton Companies,Resort Construction Managers,Construction Sand and Gravel,21.877777,-159.464444
GBI #8,Abandoned,Goodfellow Brothers Inc,Goodfellow Brothers Inc,Construction Sand and Gravel,21.896944,-159.459166
Portable Crushing Unit,Abandoned,James W Glover Holding Company Ltd,James W Glover Ltd,"Crushed, Broken Limestone NEC",21.898333,-159.439166
Bluestone Quarry & Mill,Active,James W Glover Holding Company Ltd,Jas W Glover Ltd,"Crushed, Broken Traprock",21.966301,-159.397117
Clark Sand & Gravel,Temporarily Idled,Neal R  Bennett; Dinah L  Bennett,Bennett Enterprises,Construction Sand and Gravel,59.141389,-158.623333
Ekuk Rock Crusher,Abandoned,Lynden Inc,Amanka Lake Construction LLC,"Crushed, Broken Stone NEC",59.141388,-158.623333
Wash Plant,Abandoned,Gary  Buchholz,Horizon Contractors,Construction Sand and Gravel,59.073055,-158.584722
Simplicity Grizzly,Abandoned,Bradley K  West,"West Construction Company, Inc.","Crushed, Broken Stone NEC",56.298888,-158.409444
Portable 2,Intermittent,Joaquin J  Silva; Georgette  Silva,"Pineridge Farms, Inc.",Construction Sand and Gravel,21.482506,-158.202396
Portable Plant,Active,Lawrence E  Wilderman,Pacific Aggregate,Construction Sand and Gravel,21.415692,-158.155025
Portable 1,Temporarily Idled,Joaquin J  Silva; Georgette  Silva,Pineridge Farms Inc.,Construction Sand and Gravel,21.350277,-158.123611
Pegson 1,Temporarily Idled,David  Hulihee; Leonard KP  Leong,Royal Contracting Co. Ltd,Construction Sand and Gravel,21.352222,-158.088055
Makakilo Quarry,Active,Alexander & Baldwin Incorporated,Grace Pacific LLC,Dimension Stone NEC,21.351936,-158.064909
GBI #17,Abandoned,Goodfellow Brothers Inc,Goodfellow Brothers Inc,Construction Sand and Gravel,21.376111,-157.991111
